OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods
14090,970 Hayes,,Hayes,SIDEWALK,1,2,,2021,1,,,POINT (-122.43229544 37.77570265),12/29/2021 16:46,6/17/2024 10:17,Hayes Valley,5,23,4,11,9,72,,,23
10728,1525 MARKET ST,Bank of America,11TH,SIDEWALK,1,2,,2003,0,37.774857,-122.418568,POINT (-122.418567793 37.774857004),1/29/2020 12:38,6/17/2024 10:17,Mission,6,32,5,10,20,180,8,1,32
21829,3500 Mission St,Shell,Mission,SIDEWALK,1,2,,2024,4,,,POINT (-122.42324786 37.740496044),1/26/2024 11:52,6/17/2024 10:17,Bernal Heights,9,83,9,2,2,188,,,83
14321,386 3rd Avenue,Bella Trattoria,3rd Avenue,SIDEWALK,2,4,,2021,11,,,POINT (-122.397654443 37.782756261),12/29/2021 16:46,6/17/2024 10:17,South of Market,6,32,1,10,34,36,4,,32
10234,1805 HAIGHT ST,Parada 22,HAIGHT,SIDEWALK,1,2,,2006,0,37.769118,-122.45202,POINT (-122.45201979 37.769118006),1/29/2020 12:38,6/17/2024 10:17,Haight Ashbury,5,25,7,11,3,91,,,25
9042,564 CASTRO ST,Castro Tarts,CASTRO,SIDEWALK,1,2,,2002,0,37.759907,-122.435259,POINT (-122.435258792 37.759907006),1/29/2020 12:38,6/17/2024 10:17,Castro/Upper Market,8,38,3,5,5,171,9,,38
9095,733 RANDOLPH ST,Norman's Liquor and Grocery,RANDOLPH,SIDEWALK,2,4,,2015,1,37.714259,-122.4694,POINT (-122.469399793 37.714259012),1/29/2020 12:38,6/17/2024 10:17,Oceanview/Merced/Ingleside,11,65,10,1,24,63,,,65
10130,607 HAIGHT ST,Vapor Room Cooperative,HAIGHT,SIDEWALK,1,2,,0,0,37.771629,-122.432298,POINT (-122.432297792 37.771629005),1/29/2020 12:38,6/17/2024 10:17,Haight Ashbury,5,26,4,11,3,183,,,26
11822,1760 OCEAN AVE,CVS Pharmacy,OCEAN,SIDEWALK,1,2,,2012,8,37.725352,-122.460628,POINT (-122.460627793 37.725352011),1/29/2020 12:38,6/17/2024 10:17,West of Twin Peaks,7,68,10,8,41,106,13,,68
21385,4001 19th Street,Noe Hill Market,19th Street,SIDEWALK,1,2,,2023,10,,,POINT (-122.432707235 37.759368869),11/13/2023 15:39,6/17/2024 10:17,Castro/Upper Market,8,115,3,5,5,162,,,115
10797,1010 BRYANT ST,SO Restaurant,BRYANT,SIDEWALK,1,2,,2015,1,37.772408,-122.407485,POINT (-122.407484796 37.772408003),1/29/2020 12:38,6/17/2024 10:17,South of Market,6,32,1,10,34,179,,,32
13568,302 Douglass,,Douglass,SIDEWALK,1,2,,2020,5,,,POINT (-122.439168135 37.758925459),6/19/2020 15:47,6/17/2024 10:17,Twin Peaks,8,115,3,5,38,133,,,115
13514,303 2nd Street,Red Dog/Lee's deli/Rooster & Rice/food trucks,2nd Street,SIDEWALK,4,8,,2020,3,,,POINT (-122.460131561 37.782912324),6/19/2020 15:02,6/17/2024 10:17,Inner Richmond,1,5,8,4,11,98,,,5
12475,4041 JUDAH ST,Thai Cottage,JUDAH,SIDEWALK,1,2,,2011,6,37.760224,-122.505537,POINT (-122.505536783 37.760224011),1/29/2020 12:38,6/17/2024 10:17,Sunset/Parkside,4,39,10,7,35,147,,,39
10218,619 MARKET ST,Boudin Bakery & Café,MARKET,SIDEWALK,2,4,,2015,8,37.78886,-122.401688,POINT (-122.401687541 37.788860019),1/29/2020 12:38,6/17/2024 10:17,Financial District/South Beach,6,108,6,10,8,25,4,,108
10019,1185 VICENTE ST,Sivananda Yoga Vedanta Center,VICENTE,SIDEWALK,2,4,,2015,8,37.739075,-122.479537,POINT (-122.479537095 37.739075012),1/29/2020 12:38,6/17/2024 10:17,Sunset/Parkside,4,40,10,7,35,95,,,40
21398,3150 24th st,Wise sons,24th st,SIDEWALK,2,4,,2023,10,,,POINT (-122.415256662 37.752503762),11/13/2023 15:39,6/17/2024 10:17,Mission,9,53,3,2,20,166,,,53
9868,1601 HOWARD ST,Sage Lounge,HOWARD,SIDEWALK,2,4,,2000,0,37.771389,-122.416776,POINT (-122.416775794 37.771389004),1/29/2020 12:38,6/17/2024 10:17,Mission,6,32,1,10,20,180,,,32
